fighter_name,fighter_odds
Paddy Pimblett,+130
Michel Pereira,+136
Umar Nurmagomedov,-265
Belal Muhammad,+170
Joshua Van,+105
Christian Rodriguez,−205
Tracy Cortez,−238
Drew Dober,−108
