fighter_name,fighter_odds
Paddy Pimblett,+130
Michel Pereira,+136
Umar Nurmagomedov,-265
Belal Muhammad,+170
Joshua Van,−192
Christian Rodriguez,−205
Tracy Cortez,+185
Drew Dober,−108
